cnae,id,descricao,divisao,status,anexos,fatorR,motivo,origem
2710-4/01,2710401,"Fabricação de geradores de corrente contínua e alternada, peças e acessórios",27,OPTANTE,II,NAO,Indústria — Anexo II,regra
2710-4/02,2710402,"Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios",27,OPTANTE,II,NAO,Indústria — Anexo II,regra
2710-4/03,2710403,"Fabricação de motores elétricos, peças e acessórios",27,OPTANTE,II,NAO,Indústria — Anexo II,regra
2721-0/00,2721000,"Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores",27,OPTANTE,II,NAO,Indústria — Anexo II,regra
2722-8/01,2722801,Fabricação de baterias e acumuladores para veículos automotores,27,OPTANTE,II,NAO,Indústria — Anexo II,regra
2722-8/02,2722802,Recondicionamento de baterias e acumuladores para veículos automotores,27,OPTANTE,II,NAO,Indústria — Anexo II,regra
2731-7/00,2731700,Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica,27,OPTANTE,II,NAO,Indústria — Anexo II,regra
2732-5/00,2732500,Fabricação de material elétrico para instalações em circuito de consumo,27,OPTANTE,II,NAO,Indústria — Anexo II,regra
2733-3/00,2733300,"Fabricação de fios, cabos e condutores elétricos isolados",27,OPTANTE,II,NAO,Indústria — Anexo II,regra
2740-6/01,2740601,Fabricação de lâmpadas,27,OPTANTE,II,NAO,Indústria — Anexo II,regra
2740-6/02,2740602,Fabricação de luminárias e outros equipamentos de iluminação,27,OPTANTE,II,NAO,Indústria — Anexo II,regra
2751-1/00,2751100,"Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios",27,OPTANTE,II,NAO,Indústria — Anexo II,regra
2759-7/01,2759701,"Fabricação de aparelhos elétricos de uso pessoal, peças e acessórios",27,OPTANTE,II,NAO,Indústria — Anexo II,regra
2759-7/99,2759799,"Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente, peças e acessórios",27,OPTANTE,II,NAO,Indústria — Anexo II,regra
2790-2/01,2790201,"Fabricação de eletrodos, contatos e outros artigos de carvão e grafita para uso elétrico, eletroímãs e isoladores",27,OPTANTE,II,NAO,Indústria — Anexo II,regra
2790-2/02,2790202,Fabricação de equipamentos para sinalização e alarme,27,OPTANTE,II,NAO,Indústria — Anexo II,regra
2790-2/99,2790299,Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente,27,OPTANTE,II,NAO,Indústria — Anexo II,regra
